Product_Display_Name,GUID,Service_Plan_Id,Service_Plans_Included_Friendly_Names
Dynamics 365 Customer Engagement Plan,ea126fc5-a19e-42e2-a731-da9d437bffcf,7e6d7d78-73de-46ba-83b1-6d25117334ba,Power Automate for Dynamics 365
Dynamics 365 Customer Engagement Plan,ea126fc5-a19e-42e2-a731-da9d437bffcf,b650d915-9886-424b-a08d-633cede56f57,Power Automate for Dynamics 365
Dynamics 365 Customer Insights Attach,a3d0cd86-8068-4071-ad40-4dc5b5908c4b,d04ca659-b119-4a92-b8fc-3ede584a9d65,Dataverse for Customer Insights BASE
Dynamics 365 Customer Insights Attach,a3d0cd86-8068-4071-ad40-4dc5b5908c4b,ca00cff5-2568-4d03-bb6c-a653a8f360ca,Common Data Service for Customer Insights
Dynamics 365 Customer Insights Attach,a3d0cd86-8068-4071-ad40-4dc5b5908c4b,ee85d528-c4b4-4a99-9b07-fb9a1365dc93,Dynamics 365 Customer Insights
Dynamics 365 Customer Insights Attach,a3d0cd86-8068-4071-ad40-4dc5b5908c4b,46c5ea0a-2343-49d9-ae4f-1c268b232d53,Microsoft Dynamics 365 Customer Voice for Customer Insights App
Dynamics 365 Customer Insights Attach,a3d0cd86-8068-4071-ad40-4dc5b5908c4b,113feb6c-3fe4-4440-bddc-54d774bf0318,Exchange Foundation
Dynamics 365 for Customer Service Digital Messaging add-on for Government,336dfe1f-3b33-4ab4-b395-cba8f614976d,9d37aa61-3cc3-457c-8b54-e6f3853aa6b6,Dynamics 365 Customer Service Digital Messaging add-on for Government
Dynamics 365 for Customer Service Digital Messaging add-on for Government,336dfe1f-3b33-4ab4-b395-cba8f614976d,e304c3c3-f86c-4200-b174-1ade48805b22,Dynamics 365 Customer Service Digital Messaging application integration for Government
Dynamics 365 for Customer Service Digital Messaging add-on for Government,336dfe1f-3b33-4ab4-b395-cba8f614976d,e501d49b-1176-4816-aece-2563c0d995db,Power Virtual Agents for Digital Messaging for Gov
Dynamics 365 for Customer Service Digital Messaging add-on for Government,336dfe1f-3b33-4ab4-b395-cba8f614976d,922ba911-5694-4e99-a794-73aed9bfeec8,Exchange Foundation for Government
Dynamics 365 Customer Service Digital Messaging and Voice Add-in for Government,6ec542c9-2a86-4d4a-8a52-d233eb58ef0a,9d37aa61-3cc3-457c-8b54-e6f3853aa6b6,Dynamics 365 Customer Service Digital Messaging add-on for Government
Dynamics 365 Customer Service Digital Messaging and Voice Add-in for Government,6ec542c9-2a86-4d4a-8a52-d233eb58ef0a,411b0c93-8f89-455e-a663-c0a3effd12c3,Dynamics 365 for Customer Service Voice Add-in for Government
Dynamics 365 Customer Service Digital Messaging and Voice Add-in for Government,6ec542c9-2a86-4d4a-8a52-d233eb58ef0a,cad9c719-36e0-43c7-9506-6886f272d4f0,Power Virtual Agents for Customer Service Voice for Government
Dynamics 365 Customer Service Digital Messaging and Voice Add-in for Government,6ec542c9-2a86-4d4a-8a52-d233eb58ef0a,e501d49b-1176-4816-aece-2563c0d995db,Power Virtual Agents for Digital Messaging for Gov
Dynamics 365 Customer Service Digital Messaging and Voice Add-in for Government,6ec542c9-2a86-4d4a-8a52-d233eb58ef0a,922ba911-5694-4e99-a794-73aed9bfeec8,Exchange Foundation for Government
Dynamics 365 Customer Service Digital Messaging and Voice Add-in for Government for Test,ea9ba490-50b8-474e-8671-9fec0f1268f3,9d37aa61-3cc3-457c-8b54-e6f3853aa6b6,Dynamics 365 Customer Service Digital Messaging add-on for Government
Dynamics 365 Customer Service Digital Messaging and Voice Add-in for Government for Test,ea9ba490-50b8-474e-8671-9fec0f1268f3,411b0c93-8f89-455e-a663-c0a3effd12c3,Dynamics 365 for Customer Service Voice Add-in for Government
Dynamics 365 Customer Service Digital Messaging and Voice Add-in for Government for Test,ea9ba490-50b8-474e-8671-9fec0f1268f3,cad9c719-36e0-43c7-9506-6886f272d4f0,Power Virtual Agents for Customer Service Voice for Government
Dynamics 365 Customer Service Digital Messaging and Voice Add-in for Government for Test,ea9ba490-50b8-474e-8671-9fec0f1268f3,e501d49b-1176-4816-aece-2563c0d995db,Power Virtual Agents for Digital Messaging for Gov
Dynamics 365 Customer Service Digital Messaging and Voice Add-in for Government for Test,ea9ba490-50b8-474e-8671-9fec0f1268f3,922ba911-5694-4e99-a794-73aed9bfeec8,Exchange Foundation for Government
Dynamics 365 for Customer Service Chat for Government,1b399f66-be2a-479c-a79d-84a43a46f79e,b9f7ce72-67ff-4695-a9d9-5ff620232024,Dynamics 365 Customer Service Chat Application Integration for Government
Dynamics 365 for Customer Service Chat for Government,1b399f66-be2a-479c-a79d-84a43a46f79e,ffb878a5-3184-472b-800b-65eadc63d764,Dynamics 365 for Customer Service Chat for Government
Dynamics 365 for Customer Service Chat for Government,1b399f66-be2a-479c-a79d-84a43a46f79e,9023fe69-f9e0-4c1e-bfde-654954469162,Power Virtual Agents for Chat for Gov
Dynamics 365 for Customer Service Chat for Government,1b399f66-be2a-479c-a79d-84a43a46f79e,922ba911-5694-4e99-a794-73aed9bfeec8,Exchange Foundation for Government
Dynamics 365 Customer Service Enterprise Admin,94a6fbd4-6a2f-4990-b356-dc7dd8bed08a,dbe07046-af68-4861-a20d-1c8cbda9194f,Customer Voice for Dynamics 365 vTrial
Dynamics 365 Customer Service Enterprise Admin,94a6fbd4-6a2f-4990-b356-dc7dd8bed08a,47c2b191-a5fb-4129-b690-00c474d2f623,Dynamics 365 Customer Service Digital Messaging add-on
Dynamics 365 Customer Service Enterprise Admin,94a6fbd4-6a2f-4990-b356-dc7dd8bed08a,5b1e5982-0e88-47bb-a95e-ae6085eda612,Dynamics 365 Customer Service Insights for CS Enterprise
Dynamics 365 Customer Service Enterprise Admin,94a6fbd4-6a2f-4990-b356-dc7dd8bed08a,99340b49-fb81-4b1e-976b-8f2ae8e9394f,Dynamics 365 for Customer Service
Dynamics 365 Customer Service Enterprise Admin,94a6fbd4-6a2f-4990-b356-dc7dd8bed08a,f6ec6dfa-2402-468d-a455-89be11116d43,Dynamics 365 for Customer Service Voice Add-in
